id,created_at,text
1073703746432049153,2018-12-14 22:18:16,b'....I look forward to working with him in this new capacity as we continue to MAKE AMERICA GREAT AGAIN! John will b\xe2\x80\xa6 https://t.co/jBkNiYFTCD'
1073703744766922754,2018-12-14 22:18:15,"b'I am pleased to announce that Mick Mulvaney, Director of the Office of Management &amp; Budget, will be named Acting Wh\xe2\x80\xa6 https://t.co/YO2OMSJYEL'"
1073643684212682755,2018-12-14 18:19:36,b'Thank you to @tim_cook for agreeing to expand operations in the U.S. and thereby creating thousands of jobs! https://t.co/2zOVxp9nTF'
1073643166732042240,2018-12-14 18:17:32,b'....Kim Jong Un sees it better than anyone and will fully take advantage of it for his people. We are doing just fine!'
1073643165318635521,2018-12-14 18:17:32,b'Many people have asked how we are doing in our negotiations with North Korea - I always reply by saying we are in n\xe2\x80\xa6 https://t.co/W7WasNpMDN'
1073617541476569088,2018-12-14 16:35:43,b'China just announced that their economy is growing much slower than anticipated because of our Trade War with them.\xe2\x80\xa6 https://t.co/hqeUqFrIAz'
1073327086037741568,2018-12-13 21:21:33,"b'Let\xe2\x80\x99s not do a shutdown, Democrats - do what\xe2\x80\x99s right for the American People! https://t.co/bZg07ZKQqo'"
1073312756215021569,2018-12-13 20:24:36,"b'Today, it was my honor to welcome our Nation\xe2\x80\x99s newly elected Governors to the @WhiteHouse! https://t.co/LCpFIoRglp'"
1073279800704262145,2018-12-13 18:13:39,b'Happy 382nd Birthday @USNationalGuard. Our entire Nation is forever grateful for all you do 24/7/365. We love you!\xe2\x80\xa6 https://t.co/dF0icefxhN'
1073276550882172934,2018-12-13 18:00:44,"b'Just did an interview with @HARRISFAULKNER on @FoxNews, airing now (1pmE.) Enjoy!'"
1073269882911903746,2018-12-13 17:34:15,"b'....She will probably be given a pass, despite their terrible ratings. Congratulations to @RichardGrenell, our grea\xe2\x80\xa6 https://t.co/FnT1f5MAWb'"
1073269881334849536,2018-12-13 17:34:14,"b'If it was a Conservative that said what \xe2\x80\x9ccrazed\xe2\x80\x9d Mika Brzezinski stated on her show yesterday, using a certain horr\xe2\x80\xa6 https://t.co/UKC0kqLnSZ'"
1073248244787015680,2018-12-13 16:08:16,b'WITCH HUNT!'
1073248137320509440,2018-12-13 16:07:50,b'They gave General Flynn a great deal because they were embarrassed by the way he was treated - the FBI said he didn\xe2\x80\xa6 https://t.co/LhVRWnWaXc'
1073210823936495617,2018-12-13 13:39:34,b'....guilty even on a civil basis. Those charges were just agreed to by him in order to embarrass the president and\xe2\x80\xa6 https://t.co/BylBHBnsXO'
1073207272069890049,2018-12-13 13:25:27,"b'....stated that I did nothing wrong with respect to campaign finance laws, if they even apply, because this was not\xe2\x80\xa6 https://t.co/fIgMXuo393'"
1073205176872435713,2018-12-13 13:17:08,b'I never directed Michael Cohen to break the law. He was a lawyer and he is supposed to know the law. It is called \xe2\x80\x9c\xe2\x80\xa6 https://t.co/x1qy9ba3fH'
1073195450033950720,2018-12-13 12:38:28,"b'I often stated, \xe2\x80\x9cOne way or the other, Mexico is going to pay for the Wall.\xe2\x80\x9d This has never changed. Our new deal w\xe2\x80\xa6 https://t.co/NG28LRO7Ox'"
1073002260072935424,2018-12-12 23:50:48,b'.@FLOTUS Melania will be interviewed by @SeanHannity tonight on @FoxNews at 9:00pmE!'
1072836035514634240,2018-12-12 12:50:17,"b'The Democrats and President Obama gave Iran 150 Billion Dollars and got nothing, but they can\xe2\x80\x99t give 5 Billion Doll\xe2\x80\xa6 https://t.co/w4ghsGs4XN'"
1072832023927185408,2018-12-12 12:34:21,b'Another very bad terror attack in France. We are going to strengthen our borders even more. Chuck and Nancy must gi\xe2\x80\xa6 https://t.co/r46LwzwNBr'
1072614269773119489,2018-12-11 22:09:04,b'Thanks to Leader McConnell for agreeing to bring a Senate vote on Criminal Justice this week! These historic change\xe2\x80\xa6 https://t.co/pXXdsXxGWq'
1072565454655406081,2018-12-11 18:55:06,b'\xe2\x80\x9cI don\xe2\x80\x99t care what you think of the President...it cannot bleed over to the FBI...Comey is confirming there is bias\xe2\x80\xa6 https://t.co/Km9UuC12Ci'
1072564293302976512,2018-12-11 18:50:29,b'James Comey just totally exposed his partisan stance by urging his fellow Democrats to take back the White House in\xe2\x80\xa6 https://t.co/M7mJYxDjgu'
1072483770819846144,2018-12-11 13:30:31,"b'Fake News has it purposely wrong. Many, over ten, are vying for and wanting the White House Chief of Staff position\xe2\x80\xa6 https://t.co/jlSKLvmYYr'"
1072480983683870720,2018-12-11 13:19:26,b'Very productive conversations going on with China! Watch for some important announcements!'
1072478880060067840,2018-12-11 13:11:05,b'Great job by Michael Anton on @foxandfriends. A true National Security expert!'
1072471575956504576,2018-12-11 12:42:03,"b'....People do not yet realize how much of the Wall, including really effective renovation, has already been built.\xe2\x80\xa6 https://t.co/F3FHCcgD7U'"
1072468779974713345,2018-12-11 12:30:57,"b'.....I look forward to my meeting with Chuck Schumer &amp; Nancy Pelosi. In 2006, Democrats voted for a Wall, and they\xe2\x80\xa6 https://t.co/WpRqviRHB5'"
1072464107784323072,2018-12-11 12:12:23,"b'....however, for strictly political reasons and because they have been pulled so far left, do NOT want Border Secur\xe2\x80\xa6 https://t.co/it4P8oQShG'"
1072462207416446976,2018-12-11 12:04:50,"b'.....Ice, Border Patrol and our Military have done a FANTASTIC job of securing our Southern Border. A Great Wall wo\xe2\x80\xa6 https://t.co/kSZAxPmYP8'"
1072459097855938560,2018-12-11 11:52:28,"b'Despite the large Caravans that WERE forming and heading to our Country, people have not been able to get through o\xe2\x80\xa6 https://t.co/K2S09AOp7y'"
1072317149723717632,2018-12-11 02:28:25,b'\xe2\x80\x9cFormer FBI Director James Comey under fire for his testimony acknowledging he knew that the Democrats paid for tha\xe2\x80\xa6 https://t.co/q071tvQHG9'
1072312854307581953,2018-12-11 02:11:21,b'James Comey\xe2\x80\x99s behind closed doors testimony reveals that \xe2\x80\x9cthere was not evidence of Campaign Collusion\xe2\x80\x9d with Russia\xe2\x80\xa6 https://t.co/ab8xMGfa8d'
1072098604599394305,2018-12-10 12:00:00,"b'....which it was not (but even if it was, it is only a CIVIL CASE, like Obama\xe2\x80\x99s - but it was done correctly by a la\xe2\x80\xa6 https://t.co/4LC5DD8fR7'"
1072095127894667265,2018-12-10 11:46:11,b'\xe2\x80\x9cDemocrats can\xe2\x80\x99t find a Smocking Gun tying the Trump campaign to Russia after James Comey\xe2\x80\x99s testimony. No Smocking\xe2\x80\xa6 https://t.co/FDEsflAVZ5'
1071939400517500929,2018-12-10 01:27:23,b'I am in the process of interviewing some really great people for the position of White House Chief of Staff. Fake N\xe2\x80\xa6 https://t.co/0TmZj2kYDB'
1071898088267284482,2018-12-09 22:43:13,b'The Trump Administration has accomplished more than any other U.S. Administration in its first two (not even) years\xe2\x80\xa6 https://t.co/7X7ioDqIqf'
1071764777679114240,2018-12-09 13:53:30,b'Leakin\xe2\x80\x99 James Comey must have set a record for who lied the most to Congress in one day. His Friday testimony was s\xe2\x80\xa6 https://t.co/3wPMGjCLdw'
1071760971088228352,2018-12-09 13:38:22,"b'On 245  occasions, former FBI Director James Comey told House investigators he didn\xe2\x80\x99t know, didn\xe2\x80\x99t recall, or could\xe2\x80\xa6 https://t.co/qOcpjW5Gmq'"
1071547785156136961,2018-12-08 23:31:15,b'It was my honor to attend today\xe2\x80\x99s #ArmyNavyGame in Philadelphia. A GREAT game played all around by our HEROES. Cong\xe2\x80\xa6 https://t.co/lb25gCUd8S'
1071545675786137600,2018-12-08 23:22:52,b'#ArmyNavyGame\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/Yjhq6r6F9h'
1071481315092910080,2018-12-08 19:07:07,"b'Great honor to be headed to the Army-Navy game today. Will be there shortly, landing now! https://t.co/ByAfESq8aS'"
1071479079558213632,2018-12-08 18:58:14,"b'....left and right, he then woke up from his dream screaming that HE LIED. Next time I go to Vietnam I will ask \xe2\x80\x9cth\xe2\x80\xa6 https://t.co/g9qUFnCBfh'"
1071479075699490816,2018-12-08 18:58:13,b'Watched Da Nang Dick Blumenthal on television spewing facts almost as accurate as his bravery in Vietnam (which he\xe2\x80\xa6 https://t.co/euNS4b3bMi'
1071454998414921728,2018-12-08 17:22:32,b'Very sad day &amp; night in Paris. Maybe it\xe2\x80\x99s time to end the ridiculous and extremely expensive Paris Agreement and re\xe2\x80\xa6 https://t.co/bKxAvaGehG'
1071434642555920385,2018-12-08 16:01:39,"b'\xe2\x80\x9cThis is collusion illusion, there is no smoking gun here. At this late date, after all that we have gone through,\xe2\x80\xa6 https://t.co/nEpu0IoYa8'"
1071408939684806659,2018-12-08 14:19:31,b'....I am thankful to both of these incredible men for their service to our Country! Date of transition to be determined.'
1071408938522996741,2018-12-08 14:19:31,"b'I am pleased to announce my nomination of four-star General Mark Milley, Chief of Staff of the United States Army \xe2\x80\x93\xe2\x80\xa6 https://t.co/fdIELZ88xe'"
1071389414239162369,2018-12-08 13:01:56,"b'AFTER TWO YEARS AND MILLIONS OF PAGES OF DOCUMENTS (and a cost of over $30,000,000), NO COLLUSION!'"
1071387078901030913,2018-12-08 12:52:39,"b'The idea of a European Military didn\xe2\x80\x99t work out too well in W.W. I or 2. But the U.S. was there for you, and always\xe2\x80\xa6 https://t.co/G9PYIJDR2b'"
1071382401954267136,2018-12-08 12:34:04,b'The Paris Agreement isn\xe2\x80\x99t working out so well for Paris. Protests and riots all over France. People do not want to\xe2\x80\xa6 https://t.co/Zgn65EgKzB'
1071252547170721792,2018-12-08 03:58:04,"b'RT @WhiteHouse: This afternoon, President Trump delivered remarks at the 2018 Project Safe Neighborhoods National Conference where he reinf\xe2\x80\xa6'"
1071177621445230596,2018-12-07 23:00:21,b'Totally clears the President. Thank you!'
1071159669949911044,2018-12-07 21:49:01,"b""It is being reported that Leakin' James Comey was told by Department of Justice attorneys not to answer the most im\xe2\x80\xa6 https://t.co/hn0AZ1oXmz"""
